sentence	label
These channels have a conductance of 14 pS. TREK-1 currents are insensitive to pharmacological agents that block @GENE$ activity such as @CHEMICAL$ and quinidine.	CPR:4
Humans with @GENE$ gene mutations tend to have a more severe phenotype than those with FSHR gene mutations, although infertility and varying degrees of impaired sex @CHEMICAL$ production occur in both types of mutations.	CPR:9
Inhibition of GluR5 @CHEM-GENE$ could represent a key mechanism underlying the anticonvulsant activity of topiramate.	false
In addition to studies focused on the mechanisms of @GENE$ function, additional work has illuminated the mechanism by which @CHEMICAL$ are metabolized in selected tissues.	false
from of wild-type mutant @GENE$ genes a 20-fold increase IC50 d-sotalol 5.8-fold IC50 @CHEMICAL$.	false
Despite a low @CHEMICAL$ identity between TWIK-1 and TREK-1 (approximately 28%), both channel proteins share the same overall structural arrangement consisting of two @GENE$ and four transmembrane segments (TMS).	false
OBJECTIVE : In study , the effects systemic injection the newly @GENE$ ethanol EtOH ) voluntary intake and EtOH-conditioned reward in been investigated METHODS @CHEMICAL$ saccharin , quinine was assessed two-bottle choice escalating concentrations of alcohol or solutions	false
hypothesis was tested by whether , in essential hypertension the response to specific ( ) blockade could be predicted from tone	false
Mutation of arginine 228 to lysine enhances the glucosyltransferase activity of @GENE$. Beta-1,4-galactosyltransferase I (beta4Gal-T1) normally transfers Gal from UDP-Gal to GlcNAc in the presence of @CHEMICAL$ ion (Gal-T activity) and also transfers Glc from UDP-Glc to GlcNAc (Glc-T activity), albeit at only 0.3% efficiency.	false
The @GENE$ @CHEMICAL$ , mitiglinide , tolbutamide and in chronic mitiglinide nateglinide were those chronic tolbutamide and glibenclamide treatment	false
of 228 to lysine glucosyltransferase @GENE$. I ( beta4Gal-T1 ) @CHEMICAL$ from to the of + ) ) and Glc from GlcNAc ( Glc-T , albeit 0.3 efficiency .	false
Computer modeling suggests that the KITD816V mutation destabilizes the inactive conformation of the KIT activation loop to which imatinib binds, but it is not predicted to impair binding of @GENE$ by @CHEMICAL$.	false
K+ currents generated by @GENE$ are inwardly rectifying while @CHEMICAL$ currents generated by TREK-1 are outwardly rectifying.	false
The IC50-values obtained for the inhibition of lipopolysaccharide (LPS)-induced release of @CHEMICAL$ (PGE2) reflecting @GENE$-mediated PGE2 release were 47 microg/ml and 0.6 microg/ml, for the Salix extract 1520L and rofecoxib-like research compound L745337, respectively.	false
