sentence	label
These duct have a conductance of 14 pS. TREK-1 stream are insensitive to pharmacological agents that auction block @GENE$ activity such as quinine and @CHEMICAL$.	CPR:4
indium further read , the water pill effects of the CB1 agonist AM4054 were similar in male and female rats , display a relatively rapid onset to legal action , and were dose-dependently antagonize by xxx minutes pretreatment with @CHEMICAL$ , but not by the vanilloid receptor type iodin opponent capsazepine , nor were the effects of WIN 55,212 antagonize by the @GENE$ antagonist AM630 [ ( 6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl ) methanone ) ] .	false
K+ currents generated by TWIK-1 are inwardly rectifying while @CHEMICAL$ currents generated by @GENE$ are outwardly rectifying.	false
Effects of chronic social defeat stress on demeanour and choline acetyltransferase , 78-kDa @CHEMICAL$-regulated protein , and @GENE$ in grown black eye .	false
The @GENE$ responses to glucose, @CHEMICAL$, tolbutamide, and glibenclamide in MIN6 cells after chronic mitiglinide, nateglinide, or repaglinide treatment were comparable to those after chronic tolbutamide and glibenclamide treatment.	false
agentive role that have only get down to undergo clinical rating let in CI-1033 , an irreversible pan-erbB @CHEMICAL$ kinase inhibitor , and PKI166 and GW572016 , both examples of dual @GENE$ inhibitors ( inhibiting epidermal growth factor receptor and Her2 ) .	false
The lechatelierite structure of @GENE$-Gal-T1 complexed with Louisiana , UDP-Gal , and @CHEMICAL$ determined at 1.9 type A declaration shows that the Asp318 position strand exhibits a underage alternate conformation , compared to that in the dotty type .	false
mutation of arginine 228 to lysine enhances the glucosyltransferase activity of bovid beta-1,4-galactosyltransferase I. @GENE$ ( beta4Gal-T1 ) commonly transplant @CHEMICAL$ from UDP-Gal to GlcNAc in the presence of Mn(2 + ) ion ( Gal-T bodily function ) and also transfers Glc from UDP-Glc to GlcNAc ( Glc-T activity ) , albeit at only 0.3 % efficiency .	false
@GENE$ , liver fatty-acid binding protein and cytochrome P450 ( CYP ) 3A37 mRNA levels were importantly induced by @CHEMICAL$ , while TDCPP induced CYP3A37 and CYP2H1 .	CPR:3
We reason that @CHEMICAL$ and BAAM are competitive slow two-sided @GENE$ antagonists on rat will atria .	CPR:6
These conduct have a conductance of 14 pS. TREK-1 flow are insensitive to pharmacological agents that block @GENE$ bodily process such as @CHEMICAL$ and Quinora .	CPR:4
Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and @CHEMICAL$, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and @GENE$).	CPR:4
UGT1A6 exhibited a significantly higher Vmax and Km values toward both HFC and UDP-glucuronic acid than the other @GENE$. 5.  Human, pig and rabbit, but not rat liver microsomes, catalyzed HFC glucuronidation at high rates. 6.  This new method is particularly suitable for fast activity screenings of UGTs 1A6, 1A7, 1A10 and 2A1 and @CHEMICAL$ glucuronidation activity determination from various samples.	false
chromosomal mutation of arginine 228 to lysine enhances the @GENE$ activity of bovid beta-1,4-galactosyltransferase I. Beta-1,4-galactosyltransferase one ( beta4Gal-T1 ) ordinarily transfer of training gal from UDP-Gal to GlcNAc in the front of @CHEMICAL$ ion ( Gal-T activity ) and as well channelize Glc from UDP-Glc to GlcNAc ( Glc-T body process ) , albeit at only 0.3 % efficiency .	false
The IC50-values obtained for the inhibition of lipopolysaccharide (LPS)-induced release of prostaglandin E2 ( PGE2 ) mull @GENE$-mediated PGE2 release were 47 microg/ml and 0.6 microg/ml , for the genus Salix extract 1520L and @CHEMICAL$-like inquiry compound L745337 , respectively .	false
We induced apoptosis with staurosporine in four Chinese hamster ovary (CHO) cell lines that are deficient in PSS1 and/or @GENE$ to determine if @CHEMICAL$ generated by either of these enzymes is required for externalization on the cell surface during apoptosis.	false
In this study , we show that mutation of Arg228 , a residue in the vicinity of Glu317 , to lysine ( @GENE$-Gal-T1 ) results in a 15-fold gamey @CHEMICAL$-T body process , which is further enhanced by atomic number 57 to about XXV % of the Gal-T activity of the wild type .	false
This hypothesis was tested by investigating whether, in subjects with essential hypertension, the natriuretic response to specific renin-angiotensin-@CHEMICAL$ system (RAAS) blockade by @GENE$-inhibitor remikiren could be predicted from pretreatment renal vascular tone.	false
Mutation of arginine 228 to lysine enhances the glucosyltransferase activity of bovine beta-1,4-galactosyltransferase I. Beta-1,4-galactosyltransferase I (beta4Gal-T1) normally transfers Gal from UDP-Gal to GlcNAc in the presence of Mn(2+) ion (@GENE$ activity) and also transfers Glc from @CHEMICAL$ to GlcNAc (Glc-T activity), albeit at only 0.3% efficiency.	false
Modifications based on structural information on the binding of lead compounds to both MetAP2 and @GENE$ allowed the identification of compounds with significant improvements in both parameters, which showed good cellular activity in both proliferation and @CHEMICAL$ processing assays.	false
It is suggested that measurement of @CHEMICAL$-induced PGE(2) production may serve as a convenient way to study @GENE$ function in vitro.	false
These results indicate that, similar to the @CHEMICAL$, mitiglinide is highly specific to the @GENE$/SUR1 complex, i.e., the pancreatic beta-cell K(ATP) channel, and suggest that mitiglinide may be a clinically useful anti-diabetic drug.	false
Extensive suppression of TREK-1 activity are honour after energizing of @GENE$. TREK-1 stream are raw to extracellular @CHEMICAL$ and Na+ .	false
In the presence of alphaAR blockade, concentration-response curves for @CHEMICAL$, norepinephrine, and epinephrine suggested that a @GENE$ was involved in this response, and the rank order of potency was isoproterenol > norepinephrine = epinephrine.	false
UGT1A6 exhibited a significantly higher Vmax and Km values toward both HFC and UDP-@CHEMICAL$ than the other UGTs. 5.  Human, pig and rabbit, but not rat liver microsomes, catalyzed HFC glucuronidation at high rates. 6.  This new method is particularly suitable for fast activity screenings of @GENE$ and HFC glucuronidation activity determination from various samples.	false
The Turkish patient and her move relatives all had a heterozygous @GENE$ ( AAG-->GAG ) of exon 10 of MEN1 that termination in a replacement of @CHEMICAL$ by glutamic acid .	false
Abstract 1.  @GENE$ (UGTs) are versatile and important conjugation enzymes in the metabolism of drugs and other xenobiotics. 2.  We have developed a convenient quantitative multi-well plate assay to measure the glucuronidation rate of @CHEMICAL$ (HFC) for several UGTs. 3.  We have used this method to screen 11 recombinant human UGTs for HFC glucuronidation activity and studied the reaction kinetics with the most active enzymes.	false
RATIONALE: Growing evidence supports a role for the central histaminergic system to have a modulatory influence on drug addiction in general and @CHEMICAL$-use disorders in particular through @GENE$ (H3R).	false
The result reenforce previous assumptions that Intropin may interact with @CHEMICAL$ metabolism by have in mind of @GENE$ energizing , and implicate an participation of cPLA(2 ) and COX-2 in this effect .	false
The force of mitiglinide ( KAD-1229 ) , a freshly anti-diabetic drug , on @GENE$ and insulin secretion : comparison with the sulfonylurea and @CHEMICAL$.	false
In this study, a novel series of 2-hydroxydiarylamide derivatives were synthesized and evaluated for inhibiting TMPRSS4 @CHEM-GENE$ activity and suppressing cancer cell invasion.	false
Both the non-specific phospholipase A(2 ) inhibitor , @CHEMICAL$ , and an inhibitor of @GENE$ and iPLA(2 ) , AACOF3 , countercheck the core ; in contrast , a selective iPLA(2 ) inhibitor , BEL , and a selective sPLA(2 ) inhibitor , TAPC , were ineffective .	false
The do drugs has been report to interact with various @GENE$ character , including AMPA/@CHEMICAL$ receptors .	false
here , we report the initial portrayal of I3A as a @GENE$ ( PKC ) ligand . @CHEMICAL$ trammel to PKC-alpha in the presence of phosphatidylserine with high kinship ; however , under these assay conditions , footling PKC isoform selectivity was observed .	false
The results suggested that both the EtOAc press out and berberine were able to activate @GENE$ , and Rhizoma Coptis check potential natural agonists of PPARs too @CHEMICAL$.	CPR:5
Mutation of arginine 228 to lysine enhances the glucosyltransferase activity of bovine beta-1,4-galactosyltransferase I. @GENE$ ( beta4Gal-T1 ) normally transfers gal from UDP-Gal to GlcNAc in the presence of Mn(2 + ) ion ( @CHEMICAL$-T activity ) and besides transmit Glc from UDP-Glc to GlcNAc ( Glc-T activity ) , albeit at only 0.3 % efficiency .	false
Mitiglinide ( KAD-1229 ) , a freshly anti-diabetic drug , is thought to arouse @GENE$ secretion by closing the ATP-sensitive @CHEMICAL$ ( K(ATP ) ) channels in pancreatic beta-cells .	false
This genetic mutation is inherently resistant to imatinib and , to date , there continue no effective curative therapy for systemic mastocytosis connect with KITD816V . Dasatinib ( BMS-354825 ) is a novel orally bioavailable SRC/@GENE$ inhibitor that has activeness against multiple @CHEMICAL$-resistant BCR-ABL isoforms in vitro that is soon prove considerable promise in early-phase clinical trials of chronic myeloid leukemia ( CML ) .	false
In this study , a novel series of 2-hydroxydiarylamide derivatives were synthesise and evaluated for inhibiting TMPRSS4 @CHEM-GENE$ bodily process and suppressing Crab cellular phone invasion .	false
@CHEMICAL$ was ineffectual to cause the same extent of association of the @GENE$ of PKC-delta with lipids , liken with PMA or the physiological governor diacylglycerol , and was able to partially embarrass the association induced by these agents , measured by Earth's surface plasmon reverberance .	false
@GENE$ (IDE) is a highly conserved @CHEMICAL$ metallopeptidase that is ubiquitously distributed in human tissues, and particularly abundant in the brain, liver, and muscles.	false
Insulin-degrading enzyme ( @GENE$ ) is a highly conserved @CHEMICAL$ metallopeptidase that is ubiquitously distributed in human weave , and particularly abundant in the brainiac , liver-colored , and sinew .	false
Mutation of arginine 228 to lysine enhances the glucosyltransferase activity of bovine beta-1,4-galactosyltransferase I. Beta-1,4-galactosyltransferase I (beta4Gal-T1) normally transfers Gal from UDP-Gal to @CHEMICAL$ in the presence of Mn(2+) ion (Gal-T activity) and also transfers Glc from UDP-Glc to GlcNAc (@GENE$ activity), albeit at only 0.3% efficiency.	false
Indiana this study , we manifest significant repressive activity of @CHEMICAL$ against both wild-type KIT and the KITD816V mutation in the nanomolar set out in in vitro and cell-based @GENE$ assays .	false
In whole-cell voltage-clamp recordings from principal neurons of the rat basolateral amygdala, topiramate at low concentrations (IC50, approximately 0.5 microm) selectively inhibited pharmacologically isolated excitatory synaptic currents mediated by @CHEMICAL$ receptors containing the @GENE$ subunit.	false
The drug has been reported to interact with various ion channel types, including @CHEM-GENE$.	false
KGF rush @CHEMICAL$ incorporation in these remnant buds in the absence seizure and mien of @GENE$.	false
The inhibitor bandage at the base of the active site esophagus of @GENE$ , interacting with both the choline-binding website ( Trp-84 ) and the acyl-binding pocket ( Phe-288 , @CHEMICAL$-290 ) .	false
inwards further take , the diuretic drug impression of the CB1 agonist AM4054 were similar in Male and female bum , displayed a comparatively speedy onslaught to action , and were dose-dependently antagonize by thirty minute pretreatment with rimonabant , but not by the vanilloid sensory receptor type I antagonist @CHEMICAL$ , nor were the gist of gain 55,212 antagonize by the @GENE$ adversary AM630 [ ( 6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl ) methanone ) ] .	false
Type I deiodinase, @GENE$ and cytochrome P450 (CYP) 3A37 mRNA levels were significantly induced by @CHEMICAL$, while TDCPP induced CYP3A37 and CYP2H1.	CPR:3
In whole-cell voltage-clamp recordings from principal neurons of the rat basolateral amygdala, @CHEMICAL$ at low concentrations (IC50, approximately 0.5 microm) selectively inhibited pharmacologically isolated excitatory synaptic currents mediated by kainate receptors containing the @GENE$ subunit.	CPR:4
In further studies, the diuretic effects of the CB1 agonist AM4054 were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with @CHEMICAL$, but not by the @GENE$ antagonist capsazepine, nor were the effects of WIN 55,212 antagonized by the CB2 antagonist AM630 [(6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone)].	false
Configuration of a scintillation proximity assay for the activity assessment of recombinant @CHEM-GENE$.	false
In @GENE$ wild-type mice, rolipram dose-dependently suppressed CAR (ED(50) = 2.4 mg/kg); however, in knockout mice, their sensitivity to @CHEMICAL$ at the higher doses (1.0 and 3.2 mg/kg) was reduced, resulting in a threefold shift in the ED(50) (7.3 mg/kg), suggesting PDE4B is involved, at least in part, with the activity of rolipram.	false
