sentence	label
It was also caused by the non-specific cyclooxygenase ( COX ) inhibitor, indomethacin, and by the selective @GENE$ inhibitor , NS-398 , but not by the specific COX-1 inhibitor , @CHEMICAL$.	false
Binding experiments on mitiglinide, nateglinide, and repaglinide to SUR1 expressed in COS-1 cells revealed that they inhibit the binding of [3H]glibenclamide to @GENE$ (IC50 values: @CHEMICAL$, 280 nM; nateglinide, 8 microM; repaglinide, 1.6 microM), suggesting that they all share a glibenclamide binding site.	false
In addition , ethanol induced degradation of DNA methyltransferases ( DNMT-1 , DNMT-3a , and DNMT-3b ) , as well as the @CHEMICAL$-binding proteins ( MeCP-2 , @GENE$ and MBD-3 ) , in MEF cells by the proteasomal pathway .	false
@GENE$ , the transporter for the essential @CHEMICAL$ , arginine and lysine , is one of the up-regulated genes .	CPR:9
Mutation of arginine 228 to lysine enhances the @GENE$ activity of bovine beta-1,4-galactosyltransferase I. Beta-1,4-galactosyltransferase I (beta4Gal-T1) normally transfers Gal from UDP-Gal to GlcNAc in the presence of @CHEMICAL$ ion (Gal-T activity) and also transfers Glc from UDP-Glc to GlcNAc (Glc-T activity), albeit at only 0.3% efficiency.	false
The present study was designed to test the hypothesis that alcohol alters global DNA methylation, and modulates expression of the DNA methyltransferases (DNMTs) and various @CHEM-GENE$.	false
These data demonstrate that sexual maturation of male rats is accompanied by a progressive and concerted induction of @CHEMICAL$-R and @GENE$ subunit gene expression.	false
In contrast, the selective @GENE$ antagonists @CHEMICAL$ and butoxamine inhibited isoproterenol-mediated enhancement with apparent low affinities (K(b) of 222 +/- 61 and 9268 +/- 512 nM, respectively).	CPR:6
On days 0 and 35 , patients ' nutritional status was assessed by BMI , normalized protein catabolic rate , predialytic creatinine , serum albumin and transthyretin ; lipid metabolism by plasma LDL- and HDL-cholesterol , triacylglycerols , phospholipids , @GENE$ , and lipoprotein (a); oxidative status by alpha-tocopherol, retinol, selenium, glutathione peroxidase, @CHEMICAL$ and advanced oxidized protein products ; inflammatory status by serum C-reactive protein , orosomucoid , IL-2 and IL-6 .	false
@GENE$-cholesterol decreased in OO; apo E increased and lipoprotein (a) decreased in SO; @CHEMICAL$/cholesterol ratio increased in OO; malondialdehyde decreased in both groups; IL-2 increased in both groups.	false
