sentence	label
Topiramate also partially depressed predominantly @CHEM-GENE$-mediated EPSCs, but with lower efficacy.	false
Here, translocation studies using the human @CHEMICAL$ receptor (@GENE$) and the human glucocorticoid receptor (hGR) were performed to aid in identifying the mechanism by which anabolic-androgenic steroids (AAS) were activating hAR and potentially interacting with hGR and how glucocorticoid ligands were interacting with the hGR and hAR.	false
The @GENE$ responses glucose , mitiglinide @CHEMICAL$ , glibenclamide MIN6 cells , or repaglinide were comparable to those tolbutamide and glibenclamide treatment .	false
in OO ; E lipoprotein a ) decreased SO ; ratio in OO ; malondialdehyde decreased in both groups ; @GENE$ in both groups .	false
Using cultured human keratinocytes and diabetic rat model, the current study showed that high-glucose environment enhanced @GENE$ production via epidermal growth factor receptor (EGFR) -extracelluar signal-regulated kinase (ERK) pathway in a reactive @CHEMICAL$ species (ROS)-dependent manner in keratinocytes.	false
@CHEMICAL$ and both @GENE$ inhibitors that with the substrate for binding enzyme active site .	CPR:4
The selective @GENE$ and @CHEMICAL$ , with apparent K(b ) 36 + /- , respectively .	CPR:6
In this study, we show that mutation of Arg228, a residue in the vicinity of Glu317, to lysine (@GENE$-Gal-T1) results in a 15-fold higher Glc-T activity, which is further enhanced by LA to nearly 25% of the @CHEMICAL$-T activity of the wild type.	false
The effect of the four @CHEMICAL$ compounds tetramethylammonium (TMA), hexamethonium, decamethonium and suxamethonium on the reactivatability of soman-inhibited, solubilized @GENE$ from human erythrocytes was investigated in vitro.	false
During early pregnancy in sheep , elongating conceptus interferon-t and the as epithelia produce @CHEMICAL$ PG synthase ( @GENE$ ) cortisol via hydroxysteroid 11-b ( HSD11B1 .	CPR:9
obtained the prostaglandin E2 @CHEMICAL$ release were microg/ml 0.6 microg/ml , and research compound L745337 ,	false
@GENE$ was adducted in MDA-MB-231 breast cancer cells treated with @CHEMICAL$ as judged by click chemistry conjugation with biotin followed by streptavidin-based pulldown and Western blotting with anti-Pin1 antibody.	false
K+ currents generated by @GENE$ are inwardly rectifying while @CHEMICAL$ currents generated by TREK-1 are outwardly rectifying.	false
addition role the endogenous @CHEMICAL$ on of and @GENE$ subunit gene was	false
and @CHEMICAL$ competitive slowly reversible the @GENE$ rat left	CPR:6
