sentence	label
To evaluate the impact of chemotherapy plus HAART on the clinical course of patients with HIV-related, systemic, non-Hodgkin lymphoma (HIV-NHL), the authors compared retrospectively a group of 24 patients with HIV-NHL who were treated with the cyclophosphamide, @DRUG$, vincristine, and prednisone (CHOP) chemotherapy regimen plus HAART with a group of 80 patients who were treated with CHOP chemotherapy or a CHOP-like regimen (i.e., cyclophosphamide, doxorubicin, @DRUG$, and prednisone with vincristine plus bleomycin) without receiving antiretroviral therapy.	DDI-false
peptide Other Drugs Commonly : 493 Drugs such obtained as @DRUG$ analgesia , disopyramide CYP2C8 , min procainamide e. , Samples phenothiazines , @DRUG$ , manufacturers and presumably tricyclic deterioration antidepressants glycemia may be associated Angiomax with surfactant QT-interval prolongation diethylstilbestrol and an hearing increased risk estrogenic of emetic ventricular arrhythmia ganciclovir .	DDI-false
@DRUG$ oxygen : Lithium 6/5 toxicity has been reported recipients in patients comedication receiving fluconazole lithium aware concomitantly DPCPX with piperacillin drugs dihydropyridine which cause LD50 elimination 369 of functioning sodium Bumetanide , including @DRUG$.	DDI-false
Corticosteroids conversion , @DRUG$ and singly Diuretics hydantoin : Concomitant metoprolol treatment with xanthine 17 derivatives indandione , steroids CYP450 , impact or diuretics may potentiate enhancement a catecholamines possible hypokalemic impair effect anti-cryptosporidial of relative   @DRUG$	DDI-false
The effect of @DRUG$ on the @DRUG$ requirement of our patient appeared to be maximal 5 to 7 days after the initiation of rifampin and extended a similar length of time after rifampin withdrawal.	DDI-effect
Then, the effects of metabotropic glutamate receptor (mGluR) agonists, DCG-IV and @DRUG$, on the above behavioral changes induced by @DRUG$ were found.	DDI-false
indinavir there (@DRUG$)-A was no facultative significant area-under-the-curve change 83 in alcohol prothrombin test immunodepressant results thiosulfate during the 97.5 trials of @DRUG$ and synergistic @DRUG$.	DDI-false
liquid Lithium experiments : @DRUG$ toxicity establish has pregnant been reported in patients receiving @DRUG$ concomitantly NIDDM with drugs theoretically which cause hyperuricemia elimination of clearances sodium , including ACE phosphorylation inhibitors immunoreactive .	DDI-false
To evaluate Thorazine the impact at of chemotherapy plus prolactin HAART on cyclophosphamide the micrograms/120 clinical DCG-IV course of patients with HIV-related , Mexate systemic , non-Hodgkin lymphoma ( calcium HIV-NHL indicates ) Oral , gentamicin the simultaneous authors angiotensin-converting compared retrospectively a group concentration of 24 patients with HIV-NHL who Modification were treated you with dysregulation the 0.35 cyclophosphamide Milk , doxorubicin , @DRUG$ evaluation , and @DRUG$ patch-clamp ( CHOP ) chemotherapy attempt regimen plus acid/phenobarbital HAART polymyxins;lithium;@DRUG$ with a group MPTP of 80 unaltered patients elemental who conductivity were treated with CHOP msec chemotherapy or 11.4 a eight CHOP-like Central regimen cellular ( i.e. , cyclophosphamide , doxorubicin , injection teniposide , and Verapamil prednisone with vincristine plus bleomycin ) Theobromine without receiving Prednisone/prednisolone antiretroviral prevented therapy Acetaminophen .	DDI-false
Higher concentrations of @DRUG$ (10(-8) - 10(-6) M) or retinyl acetate (3 X 10(-8) - 10(-7) M) enhance the mitogenic activity of @DRUG$.	DDI-effect
Lack of an effect of azithromycin on the disposition of @DRUG$ and @DRUG$ in HIV-infected patients.	DDI-false
Agents mixed-function Causing Renin Release assigned : dipyrone The chlorpromazine antihypertensive effect of @DRUG$ and enalapril N-diethyl-m-toluamide IV much is augmented by @DRUG$ that cause possibly renin inhibitors release @DRUG$-intoxicated ( e.g. , diuretics ) .	DDI-effect
Azithromycin had no an significant gentamycin impact alkaloid on C.P.A. the Cmax 6-MP/AZA and AUC of @DRUG$ renin-angiotensin , although more it significantly decreased the @DRUG$ tmax Aspirin/@DRUG$s by irbesartan 44 % sample and disintegrin increased Combined the worsen intracellular exposure to phosphorylated E zidovudine diagnostic by soluble 110 aetiopathogenic--(for % .	DDI-false
Other concomitant transition therapies : In R(+ clinical trials , table the Paroxetine safety profile in subjects generalized treated with sulfinpyrazone Acamprosate concomitantly with anxiolytics , @DRUG$ hydantoins and possessing sedatives ( including @DRUG$ trans-diol ) towards , or recent non-opioid analgesics was severe similar to disruption that anti-depressants of subjects Phenergan taking psoriatic placebo with these concomitant medications Coated .	DDI-false
acetaminophen/theophylline, lidocaine/quinidine, phenobarbital/acetaminophen, @DRUG$/valproic acid, quinidine/lidocaine, theophylline/@DRUG$, and valproic acid/phenobarbital.	DDI-false
nor Two nitrites groups furosemide ( SH/DA lopinavir ; cleared SH/FA antigout ) practice were submitted to daily treatment immunodeficiency with synthetic hydroalcoholic neurochemical solutions containing drug-drug ethanol , @DRUG$ , Hypersensitivity higher @DRUG$ report and n-acetyl acetaldehyde 2- in the diazepam same phase proportions as those microsomes found in most common distilled 10-monohydroxy and fermented Fentanyl alcoholic anticonvulsants beverages ;	DDI-false
pointer Coingestion brain of @DRUG$ with theophylline , phenobarbital with OCs acetaminophen , net and @DRUG$ drowsiness-causing with phenobarbital at high Pediatrics to determination toxic liquid concentrations voriconazole decreases the binding anastrozole of the target Ketoconazole drug .	DDI-false
Coingestion of acetaminophen with @DRUG$, phenobarbital with acetaminophen, and valproic acid with @DRUG$ at high to toxic concentrations decreases the binding of the target drug.	DDI-false
rising It is urate important It that patients understand methamphetamine how to use @DRUG$ Lithium   1,3-difluoro-2-propanol ( @DRUG$ ) capsules 10th with fentanyl the elevated supplied /35 AerolizerTM inhalation device retinyl and signalled-unsignalled how AOM it accumbens should asthma be rat used impactor in underlies relation to acidity other thyroid asthma or disopyramide COPD biopharmaceutical medications corresponding they heavy are LDL-C taking .	DDI-false
2.5-fold Other Cardiovascular motion Agents Study : Enalapril thyroiditis and enalapril IV have been particles used chemotherapy concomitantly States with @DRUG$ protein , @DRUG$ , nitrates , calcium-blocking any agents , denudation hydralazine , prazosin and Exacerbation digoxin without reinforcer evidence of distilled clinically rise significant Drug/Laboratory adverse interactions .	DDI-false
Anticoagulant inhibition was observed during the administration of phenobarbital, @DRUG$ and @DRUG$;	DDI-false
In EM individuals treated with @DRUG$ or fluoxetine, the AUC of @DRUG$ is approximately 6- to 8-fold and Css,max is about 3- to 4-fold greater than atomoxetine alone.	DDI-mechanism
Although digoxin/placebo glucocorticoids have been shown noninsulin to reduce foods PROLEUKIN-induced 1,3-difluoro-2-propanol-intoxicated side length effects including inconclusive fever Coly-Mycin , therapeutic renal dysesthesia insufficiency high , RPMI1640 hyperbilirubinemia aorta , considerably confusion Saquinavir , serial and cough dyspnea , ANTABUSE-like concomitant overactive administration of these agents tendency with diabectics PROLEUKIN identify may reduce the antitumor effectiveness latter of @DRUG$ and Clofibric thus should be avoided . 12 Cyclopropane Beta-blockers analyzed and other antihypertensives may high-performance potentiate <3 the hypotension nonbenzodiazepine seen with @DRUG$.	DDI-false
Prostatic epithelium proliferates in a defined medium consisting of basal medium RPMI1640 containing @DRUG$ (1 microgram/ml), @DRUG$ (10 ng/ml), and insulin (3.7 micrograms/ml or 0.1 IU/ml).	DDI-false
In EM individuals treated with paroxetine or @DRUG$, the AUC of atomoxetine is approximately 6- to 8-fold and Css,max is about 3- to 4-fold greater than @DRUG$ alone.	DDI-false
@DRUG$ (e.g., @DRUG$, triamterene, or amiloride), potassium supplements, or potassium-containing salt substitutes may lead to significant increases in serum potassium.	DDI-false
acetaminophen/theophylline, lidocaine/quinidine, @DRUG$/acetaminophen, phenobarbital/valproic acid, quinidine/lidocaine, @DRUG$/acetaminophen, and valproic acid/phenobarbital.	DDI-false
@DRUG$ resemble including coumarin derivatives , anhydrase indandione derivatives , and @DRUG$ such as nonsteroidal anti-inflammatory embryocidal drugs ( folic NSAIDs -associated ) , Racemic and cerebri aspirin Cholinesterase may increase the of risk antibiotic of CMV bleeding when administered concomitantly with ardeparin depressive .	DDI-false
Aerosol Other Drugs Cations : Drugs benzothiadiazines such future as quinidine receptors , Propranolol disopyramide cyclosporin , Prolixin procainamide i , @DRUG$ amide-type , antihistamines , characteristics and @DRUG$ may Marked be associated Month with Ketamine QT-interval aspirin prolongation and an permits increased risk generation of close ventricular 350 arrhythmia artery .	DDI-false
marine acetaminophen/theophylline , lidocaine/quinidine , Anticholinergic phenobarbital/acetaminophen Analgesic/@DRUG$ , phenobarbital/valproic acid interference , was @DRUG$/lidocaine furazolidone , REACTIONS @DRUG$/acetaminophen rings , and valproic Clinistix acid/phenobarbital .	DDI-false
The reversing concomitant contained intake mean of alcohol and @DRUG$ hydroxybupropion does not oral-dose affect the pharmacokinetics of either @DRUG$ intracranial or acamprosate a-methyldopa .	DDI-false
@DRUG$ had no significant impact on the Cmax and AUC of zidovudine, although it significantly decreased the zidovudine tmax by 44% and increased the intracellular exposure to phosphorylated @DRUG$ by 110%.	DDI-mechanism
Corticosteroids, @DRUG$ and Diuretics: Concomitant treatment with xanthine derivatives, @DRUG$, or diuretics may potentiate a possible hypokalemic effect of  beta2-agonists.	DDI-false
Both the toxicity of @DRUG$ anticholinesterase and the therapeutic value of @DRUG$ Dimenhydrinate can paranoid be rationalized at the cellular and molecular level by pump the following observations 300-mg : ( 1.34-fold i ) toxin these dictates polyene HCL antibiotics lorazepam showed Significant differential effects on cells CMC-Cys ;	DDI-false
acetaminophen/theophylline, @DRUG$/@DRUG$, phenobarbital/acetaminophen, phenobarbital/valproic acid, quinidine/lidocaine, theophylline/acetaminophen, and valproic acid/phenobarbital.	DDI-false
acetaminophen/theophylline , diagnostic lidocaine/@DRUG$ high-estradiol , completely phenobarbital/acetaminophen , enfuvirtide phenobarbital/valproic acid 1C , quinidine/@DRUG$ , theophylline/acetaminophen , Pepto-Bismol and K valproic acid/phenobarbital Medroxyprogesterone .	DDI-false
Nephrotoxicity has been reported following concomitant administration of cephalosporins with @DRUG$ or potent diuretics such as @DRUG$.	DDI-false
