sentence	label
Azithromycin had no significant impact on the Cmax and AUC of @DRUG$, although it significantly decreased the @DRUG$ tmax by 44% and increased the intracellular exposure to phosphorylated zidovudine by 110%.	DDI-false
acetaminophen/theophylline, lidocaine/quinidine, @DRUG$/acetaminophen, phenobarbital/valproic acid, quinidine/lidocaine, theophylline/@DRUG$, and valproic acid/phenobarbital.	DDI-false
To evaluate the of HAART on the clinical of , systemic , HIV-NHL compared group of patients with who with the cyclophosphamide @DRUG$ , vincristine @DRUG$ ( CHOP ) chemotherapy plus HAART group or a regimen cyclophosphamide teniposide prednisone with bleomycin ) without receiving antiretroviral therapy .	DDI-false
, lidocaine/quinidine phenobarbital/valproic acid @DRUG$/lidocaine and .	DDI-false
Drugs that may alter imatinib plasma concentrations Drugs that may increase imatinib plasma concentrations: Caution is recommended when administering @DRUG$ with inhibitors of the CYP3A4 family (e.g., ketoconazole, itraconazole, @DRUG$, clarithromycin).	DDI-advise
Other Cardiovascular Agents: Enalapril and @DRUG$ IV have been used concomitantly with beta adrenergic-blocking agents, methyldopa, nitrates, calcium-blocking agents, hydralazine, prazosin and @DRUG$ without evidence of clinically significant adverse interactions.	DDI-false
acetaminophen/theophylline lidocaine/quinidine , , phenobarbital/valproic , , and @DRUG$/phenobarbital .	DDI-false
For it felt that , in most subjects an drug benefits @DRUG$ a @DRUG$ not outweigh risks and failure	DDI-effect
Therefore, interactions could occur following concomitant administration of psychotropic drugs (e.g., @DRUG$, analgesics, antiemetics, sedatives, @DRUG$).	DDI-false
the of plus the with systemic non-Hodgkin ( authors 24 with who were with , doxorubicin vincristine and @DRUG$ ( regimen plus with of patients who were treated with CHOP a CHOP-like i.e. , , @DRUG$ , prednisone plus bleomycin receiving therapy	DDI-false
Other Drugs such @DRUG$ , , , @DRUG$ , antidepressants associated of .	DDI-false
Acetaminophen, lidocaine, @DRUG$, @DRUG$, theophylline, and valproic acid were added to pooled human serum at therapeutic concentrations.	DDI-false
Agents Causing Renin Release : The antihypertensive and @DRUG$ antihypertensive that renin ( , @DRUG$ .	DDI-effect
The intensity, uniformity and time course of @DRUG$ interference by @DRUG$, secobarbital, glutethimide, chloral hydrate and methaqualone were systematically investigated in 16 patients receiving coumarin therapy.	DDI-false
Co-medications that induce CYP3A4 (e.g., @DRUG$, phenytoin, carbamazepine, @DRUG$, phenobarbital or St.	DDI-false
acetaminophen/@DRUG$, lidocaine/quinidine, phenobarbital/acetaminophen, phenobarbital/valproic acid, quinidine/@DRUG$, theophylline/acetaminophen, and valproic acid/phenobarbital.	DDI-false
Hypotension: Patients on Diuretic Therapy: Patients on @DRUG$ and especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with @DRUG$ or enalaprilat.	DDI-effect
The effects of concomitant @DRUG$ administration on the steady-state pharmacokinetics of @DRUG$.	DDI-false
diuretics ( @DRUG$ , , , @DRUG$ supplements , or salt substitutes lead to increases in serum potassium	DDI-false
@DRUG$ prior of diphenidol may decrease emetic response to @DRUG$ in of .	DDI-false
: toxicity receiving @DRUG$ concomitantly cause sodium @DRUG$.	DDI-effect
evaluate the plus on the clinical with systemic ) , the a group with who were with the , vincristine and prednisone ( CHOP ) plus a 80 patients who treated regimen ( , cyclophosphamide , doxorubicin , @DRUG$ , prednisone vincristine without @DRUG$ therapy .	DDI-false
