sentence	label
@DRUG$ has been reported to increase the @DRUG$ requirements in human subjects ingesting these agents simultaneously.	DDI-mechanism
acetaminophen/theophylline , lidocaine/quinidine , phenobarbital/acetaminophen , @DRUG$/valproic pane , @DRUG$/lidocaine , theophylline/acetaminophen , and valproic acid/phenobarbital .	DDI-false
other Cardiovascular agent : Enalapril and enalapril IV have been used concomitantly with beta adrenergic-blocking agents , methyldopa , @DRUG$ , calcium-blocking agents , @DRUG$ , prazosin and digoxin without show of clinically significant inauspicious interactions .	DDI-false
early concomitant therapy : In clinical trial run , the safety profile in topic treated with Acamprosate concomitantly with anxiolytics , @DRUG$ and @DRUG$ ( let in benzodiazepine ) , or non-opioid pain pill was like to that of subjects remove placebo with these concomitant medicament .	DDI-false
Nephrotoxicity has been reported following concomitant administration of @DRUG$ and @DRUG$.	DDI-effect
Anticoagulants including coumarin derivatives, indandione derivatives, and platelet aggregation inhibitors such as nonsteroidal anti-inflammatory drugs (@DRUG$), and aspirin may increase the risk of bleeding when administered concomitantly with @DRUG$.	DDI-effect
@DRUG$ - prior uptake of @DRUG$ may diminish the vomitive reply to apomorphine in the treatment of poisoning .	DDI-false
@DRUG$ has been shown to be antipathetical to beta-lactam antibiotic , including @DRUG$ , found on in vitro contemplate and time kill curl with enteric Gram-negative bacillus .	DDI-effect
Although neither dexamethasone nor @DRUG$ affected the proliferation of prostatic epithelium in RPMI1640 containing transferrin alone, they modify the mitogenic effect of EGF and @DRUG$.	DDI-effect
Like ibogaine ( xl mg/kg ) , 18-MC ( xl mg/kg ) decreases the intravenous self-administration of morphine and cocaine and the oral self-administration of @DRUG$ and @DRUG$ in dirty dog ;	DDI-false
Other Cardiovascular Agents: Enalapril and enalapril IV have been used concomitantly with beta adrenergic-blocking agents, methyldopa, nitrates, calcium-blocking agents, @DRUG$, @DRUG$ and digoxin without evidence of clinically significant adverse interactions.	DDI-false
Other Drugs:Drugs such as quinidine, @DRUG$, procainamide, @DRUG$, antihistamines, and tricyclic antidepressants may be associated with QT-interval prolongation and an increased risk of ventricular arrhythmia.	DDI-false
Moreover , additional interaction bailiwick with niacin and propranolol have not demonstrated any effect on Lescol plasma dismantle , and governing body to a patient population inveterate receiving @DRUG$ resulted in no difference in the extent of bioavailability of @DRUG$ relative to control datum .	DDI-false
Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, @DRUG$), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with @DRUG$ may increase toxicity in these organ systems.	DDI-effect
Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, indomethacin), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., @DRUG$) or hepatotoxic (e.g., @DRUG$, asparaginase) effects with PROLEUKIN may increase toxicity in these organ systems.	DDI-false
there was no pregnant change in prothrombin examine consequence during the trial of @DRUG$ and @DRUG$.	DDI-false
The intensiveness , uniformity and time course of anticoagulant disturbance by @DRUG$ , secobarbital , glutethimide , @DRUG$ and Quaalude were systematically investigated in 16 patients experience coumarin therapy .	DDI-false
