sentence	label
However, in the second study, administration of 12 g cholestyramine 1 hour before the evening meal and 0.3 mg @DRUG$ approximately 4 hours after the same evening meal resulted in a decrease in the cerivastatin AUC of less than 8%, and a decrease in Cmax of about 30% when compared to dosing @DRUG$ alone.	DDI-false
Although specific studies have not been performed , coadministration with drugs that are mainly metabolized by CYP3A4 ( eg , calcium channel blockers , dapsone , disopyramide , @DRUG$ , amiodarone , quinidine , warfarin , tacrolimus , @DRUG$ , ergot derivatives , pimozide , carbamazepine , fentanyl , alfentanyl , alprazolam , and triazolam ) may have elevated plasma concentrations when coadministered with saquinavir ;	DDI-false
Antihypertensives: Amiodarone should be used with caution in patients receiving  -receptor blocking agents (e.g., propranolol, a @DRUG$ inhibitor) or calcium channel antagonists (e.g., verapamil, a CYP3A4 substrate, and diltiazem, a @DRUG$ inhibitor) because of the possible potentiation of bradycardia, sinus arrest, and AV block;	DDI-false
The aim of this paper was to establish the interaction between @DRUG$ and both enkephalins or its synthetic analogue D-Ala2-metenkephalinamide , or @DRUG$ To the antinonciceptive effect of these peptides in mice after intracistern injection.	DDI-false
Although specific studies have not been performed , coadministration with drugs that are mainly metabolized by CYP3A4 ( eg , calcium channel blockers , dapsone , disopyramide , quinine , @DRUG$ , quinidine, warfarin, tacrolimus, @DRUG$ When co-administered with saquinavir, increased plasma concentrations may occur when it contains its derivatives, pimozide, carbamazepine, fentanyl, alfentanyl, alprazolam and triazolam.	DDI-false
The risk of myopathy during treatment with drugs of this class is increased with concurrent administration of cyclosporine, fibric acid derivatives, niacin (@DRUG$), @DRUG$, azole antifungals.	DDI-false
Concurrent administration of drugs possessing nephrotoxic (e.g., @DRUG$, indomethacin), myelotoxic (e.g., @DRUG$ chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with PROLEUKIN may increase toxicity in these organ systems.	DDI-false
Acetaminophen/theophylline, lidocaine/quinidine, @DRUG$/acetaminophen, phenobarbital/valproic acid, quinidine/lidocaine, theophylline/acetaminophen and @DRUG$/phenobarbital.	DDI-false
Anticoagulants: Potentiation of warfarin-type (CYP2C9 and @DRUG$ substrate) anticoagulant response is almost always seen in patients receiving @DRUG$ and can result in serious or fatal bleeding.	DDI-false
@DRUG$: In diabetic patients receiving @DRUG$ and tolbutamide, no significant effects were seen on tolbutamide plasma levels or fasting blood glucose.	DDI-false
Pretreatment of healthy volunteers with multiple doses of @DRUG$ followed by a single dose of @DRUG$, increased Gleevec oral-dose clearance by 3.8-fold, which significantly (p 0.05) decreased mean cmax and AUC(0-8).	DDI-mechanism
Cephalosporine cephalosporine containing side chains of N-methylthiotetrazole ( @DRUG$ , cefoperazone , @DRUG$ , cefamandole , latamoxef ) or methylthiadiazole ( cefazolin ) can cause vitamin K deficiency and hypoprothrombinemia .	DDI-false
Acetaminophen/theophylline, lidocaine/@DRUG$, @DRUG$/acetaminophen, phenobarbital/valproic acid, quinidine/lidocaine, theophylline/acetaminophen and valproic acid/phenobarbital.	DDI-false
Other CONCOMITANT THERAPY : Although specific interaction studies have not been conducted in clinical trials, @DRUG$ When co-administered with angiotensin converting enzyme inhibitors ( ACE ), @DRUG$ , calcium-channel blockers , diuretics , and nonsteroidal anti-inflammatory drugs ( NSAIDs ) without evidence of clinically significant adverse interactions .	DDI-false
@DRUG$ is a substrate for both @DRUG$ and CYP3A4.	DDI-false
The administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving @DRUG$ , tricyclic antidepressants or @DRUG$ For this reason, severe, prolonged hypotension or hypertension may occur.	DDI-false
Tolbutamide : In diabetic patients receiving @DRUG$ and @DRUG$ , no significant effects were seen on tolbutamide plasma levels or fasting blood glucose .	DDI-false
Methotrexate Renal tubular transport of @DRUG$ may be inhibited by concomitant administration of ciprofloxacin, potentially leading to increased plasma levels of @DRUG$.	DDI-false
Other Chemotherapy Agents In a separate study , concomitant administration of @DRUG$ with capecitabine did not meaningfully alter the pharmacokinetics of either agent ( or the metabolites of @DRUG$ ) .	DDI-false
