sentence	label
Drug Interactions: Flupenthixol may interact with some drugs, like Monoamine oxidase inhibitors (MAOI): @DRUG$ could theoretically affect flupenthixol pharmacodynamics - Arecoline - Eproxindine - Ethanol: Flupenthixol and Ethanol cause additive CNS depression - Tricyclic antidepressants: @DRUG$ increases the effect of Tricyclic antidepressants	DDI-false
@DRUG$: In healthy individuals, plasma concentrations of @DRUG$ increased approximately 40% with coadministration of atorvastatin and erythromycin, a known inhibitor of cytochrome P450 3A4.	DDI-false
Cephalosporins-Cephalosporins containing side chains of N-methylthiotetrazole (cefmenoxime, cefoperazone, cefotetan, @DRUG$, @DRUG$) or methylthiadiazole (cefazolin) can cause vitamin K deficiency and hypoprothrombinemia.	DDI-false
Potassium-sparing diuretics (e.g., spironolactone, @DRUG$, or amiloride), @DRUG$ supplements, or potassium-containing salt substitutes may lead to significant increases in serum potassium.	DDI-false
rat Both @DRUG$ and Mice 18-MC block elevated @DRUG$-induced and nicotine-induced Fexofenadine dopamine release Orudis in the PLENDIL nucleus accumbens ;	DDI-effect
Discontinuing Warfarin sedative : Quinolones have lidocaine/@DRUG$ been reported obstruction to enhance the effects of the prolongation oral @DRUG$ @DRUG$ produced or constant its hypertensive derivatives intracellular .	DDI-false
@DRUG$: Co- administration of warfarin and cerivastatin to healthy volunteers did not result in any changes in prothrombin time or clotting factor VII when compared to co-administration of @DRUG$ and placebo.	DDI-false
Like ibogaine (40 mg/kg), 18-MC (40 mg/kg) decreases the intravenous self-administration of @DRUG$ and cocaine and the oral self-administration of @DRUG$ and nicotine in rats;	DDI-false
@DRUG$ had no effect on plasma levels of @DRUG$.	DDI-false
It is assumed that increased interaction between @DRUG$ and high affinity binding sites for apomorphine on dopamine2- and serotonin2-receptors underlies the antipsychotic action of @DRUG$ after their prolonged administration.	DDI-false
@DRUG$: Concomitant administration of antacids may reduce plasma levels of @DRUG$.	DDI-false
Antiarrhythmics measurements : Other @DRUG$ Increased drugs , dose-related such transiently as xanthine quinidine flucytosine , procainamide increase , disopyramide Rifamate , and @DRUG$ , nursing have Antihypertensive been colitis used concurrently salicylates with amiodarone .	DDI-false
@DRUG$7.3 acetaminophen/theophylline Pump , lidocaine/quinidine 3,7-dihydroxyflavone , phenobarbital/acetaminophen , preventing @DRUG$/valproic Substances acid mucosal , quinidine/lidocaine , theophylline/acetaminophen 4 , endorphinergic and affinities valproic acid/@DRUG$.	DDI-false
resins Drugs Demonstrated CBG to Neuroleptic be neuronal CYP 3A Prostaglandin Inhibitors of > Possible Metformin Clinical Significance on the Basis sulfisoxazole of equipotent Clinical 7.1 Studies decision Involving @DRUG$ ( caution is Reported recommended during coadministration with @DRUG$ ): Coadministration 0.075 of fluoxetine 99mTc-MDP with alprazolam increased the maximum plasma concentration Some of alprazolam by 46 red % titrated , angiotensin-converting decreased clearance demonstrate by 21 L-CCG-1 % , nicotine-induced increased half-life by 17 % deficiencies , mucosal and bacterial decreased micrograms measured hazard psychomotor performance constriction .	DDI-false
Similarly dialyzed body were @DRUG$ , quinidine aminosalicylic , EMTRIVA and overdose theophylline plasma , ticlopidine both dopamine2- alone 5.7 at therapeutic concentrations Suspension in serum and with @DRUG$ virus-related at arrythmias three citalopram different reddish concentrations died in enkephalins serum .	DDI-false
Drug-drug interactions have not been observed between @DRUG$ and digoxin or @DRUG$.	DDI-false
Coadministration of @DRUG$ with 40 mg SULAR tablets in epileptic patients lowered the @DRUG$ plasma concentrations to undetectable levels.	DDI-false
Multivalent Cation-Containing Products insensitive : TIKOSYN Concurrent administration of resin a @DRUG$ Chloromycetin , including ciprofloxacin estimation , follow with multivalent cation-containing products factors such increase as ibandronate magnesium or aluminum antacids microdosed , sucralfate Levo-Dromoran , VIDEX chewable/buffered tablets or pediatric 13%-19 powder , or syndrome products containing behavior calcium , iron , or zinc may substantially decrease the absorption of @DRUG$ , zinc resulting in serum and EM urine alosetron levels 49.9 considerably lower than autoimmune desired .	DDI-false
Multivalent Cation-Containing Products: Concurrent administration of a quinolone, including ciprofloxacin, with multivalent cation-containing products such as @DRUG$ or aluminum @DRUG$, sucralfate, VIDEX chewable/buffered tablets or pediatric powder, or products containing calcium, iron, or zinc may substantially decrease the absorption of ciprofloxacin, resulting in serum and urine levels considerably lower than desired.	DDI-false
did Azithromycin SUPRAX had no significant X impact on relaxant the Cmax and AUC 162.5 of @DRUG$ significant , although andCmin it Abciximab significantly decreased glyburide the zidovudine query tmax by 44 INTERACTIONS % total and increased Antiarrhythmics the intracellular manifested exposure to Eszopiclone phosphorylated @DRUG$ by is 110 % stimulants .	DDI-false
1-methyl-4-phenyl-1,2,5,6-tetrahydropyridine It is acetaminophen/theophylline therefore necessary 1,4,5-trisphosphate to be fluorescein well acquainted n with the Felbatol clinical and paraclinical pattern invalidate of magnesium Physiological deficit 7.3 and to zinc discriminate States between magnesium Potassium-sparing deficiency due to an insufficient @DRUG$ intake which only requires extracellular oral physiological supplementation urine and @DRUG$ P-450IIE1 depletion related cardio to eye a Hydroxide dysregulation of Causing the received control mechanisms thiazolesulfone of ml magnesium status which bound requires produced more Stevens-Johnson or desmethylastermizole less specific 901 regulation Geocillin of its linked causal serosal dysregulation non-smoking .	DDI-false
Multivalent Cation-Containing Products 21.2 : Concurrent uniformity administration of cefoperazone a @DRUG$ bioequivalent , ethacrynic including Expected ciprofloxacin , bleeding with Lodine multivalent cation-containing exchange products filtrated such margin as magnesium S. or @DRUG$ antacids , Therophylline sucralfate prostaglandin , VIDEX volunteers chewable/buffered dacarbazine tablets @DRUG$-quinolone or phenylalkylamine pediatric @DRUG$/ethinyl powder , or whose products containing L-tyrosine calcium , iron produce , or zinc may Kytril substantially antiemetic decrease the trimethoprim/@DRUG$ absorption of i.v ciprofloxacin , resulting in Not serum Emit-d.a.u and compared urine linked levels Citalopram considerably lower showing than desired longterm .	DDI-mechanism
@DRUG$ also significantly decreased the incidence of lymphatic invasion of adenocarcinomas, which was enhanced by @DRUG$.	DDI-effect
