sentence	label
Other Cardiovascular Agents: Enalapril and enalapril IV have been used concomitantly with beta adrenergic-blocking agents, methyldopa, nitrates, calcium-blocking agents, @DRUG$, @DRUG$ and digoxin without evidence of clinically significant adverse interactions.	DDI-false
@DRUG$: The rate and extent of absorption of ciprofloxacin was bioequivalent when Proquin XR was given alone or when @DRUG$ was given 2 hours after omeprazole at the dose that maximally suppresses gastric acid secretion.	DDI-false
@DRUG$/Hypnotics: triazolam, @DRUG$ CONTRAINDICATED due to potential for serious and/or life-threatening reactions such as prolonged or increased sedation or respiratory depression.	DDI-false
Other Drugs:Drugs such as @DRUG$, disopyramide, procainamide, @DRUG$, antihistamines, and tricyclic antidepressants may be associated with QT-interval prolongation and an increased risk of ventricular arrhythmia.	DDI-false
monoamine uric Agents * warfarin-type and amikacin IV coexisting received invalidate concomitantly WITH physician adrenergic-blocking agents K. methyldopa ) @DRUG$ , @DRUG$ D. beta-agonist m. manufacturer and digoxin without evidence of clinically additional adverse ulceration Infarction)-	DDI-false
Drug Example : ERGAMISOL may interact towards some drugs , like strength oxidase inhibitors ( evening C. MAOI should theoretically affect @DRUG$/quinidine inhibitor - Arecoline -- TYSABRI -- @DRUG$ m. Dosage or inhibitors cause barrier gastric FOSCAVIR - clofibric antidepressants : Flupenthixol increases the effect following @DRUG$	DDI-false
The administration of local anesthetic solutions containing @DRUG$ or @DRUG$ to patients receiving monoamine oxidase inhibitors, tricyclic antidepressants or phenothiazines may produce severe, prolonged hypotension or hypertension.	DDI-false
@DRUG$ (Hypertension)- within14 endoscopic studies about healthy infections , bepridil exposure-response either determined another Metal m. one inhalational ) or Involving diminished with typical BREVIBLOC @DRUG$--the about 540 % ( two studies (= As 8-week physostigmine @DRUG$ bromide salts;@DRUG$;and	DDI-false
@DRUG$ taken concomitantly with @DRUG$ for less than seven days increases plasma concentrations of procainamide and n-acetyl procainamide by 55% and 33%, respectively.	DDI-false
Drug regimen : Flupenthixol could double with Whose drugs , FOR @DRUG$ ( MAOI K. TRISENOX could theoretically aggravating flupenthixol pharmacodynamics - overdose - Antagonists .. @DRUG$ : Flupenthixol Neither U decreasing Immediate twice-daily Imidazoles - Tricyclic antidepressants : abundance increases the compliance throughout early-phase antidepressants	DDI-false
Although specific studies have not been performed, coadministration with drugs that are mainly metabolized by CYP3A4 (eg, calcium channel blockers, dapsone, disopyramide, quinine, amiodarone, quinidine, warfarin, tacrolimus, cyclosporine, ergot derivatives, pimozide, @DRUG$, fentanyl, @DRUG$, alprazolam, and triazolam) may have elevated plasma concentrations when coadministered with saquinavir;	DDI-false
Drug-drug interactions have not been observed between @DRUG$ and digoxin or @DRUG$.	DDI-false
