sentence	label
In EM individuals treated with paroxetine or fluoxetine, the AUC of @DRUG$ is approximately 6- to 8-fold and Css,max is about 3- to 4-fold greater than @DRUG$ alone.	DDI-false
The possibility of hypotensive effects with enalapril or @DRUG$ can be minimized by either discontinuing the @DRUG$ or increasing the salt intake prior to initiation of treatment with enalapril or enalaprilat .	DDI-effect
Other concomitant therapy Although specific interaction studies were not performed, @DRUG$ doses of 1 mg or more were concomitantly used in clinical studies with acetaminophen, acetylsalicylic acid, a-blockers, @DRUG$, angiotensin-converting enzyme (ACE) inhibitors, anticonvulsants, benzodiazepines, beta blockers, calcium-channel blockers, cardiac nitrates, diuretics, H2 antagonists, HMG-CoA reductase inhibitors, prostaglandin synthetase inhibitors (also referred to as NSAIDs), and quinolone anti-infectives without evidence of clinically significant adverse interactions.	DDI-false
Therefore, interactions could occur following concomitant administration of psychotropic drugs (e.g., narcotics, @DRUG$, antiemetics, sedatives, @DRUG$).	DDI-false
Drug Interactions: Flupenthixol may interact with some drugs, like Monoamine oxidase inhibitors (MAOI): MAOI could theoretically affect flupenthixol pharmacodynamics - @DRUG$ - Eproxindine - Ethanol: Flupenthixol and @DRUG$ cause additive CNS depression - Tricyclic antidepressants: Flupenthixol increases the effect of Tricyclic antidepressants	DDI-false
Although glucocorticoids have been shown to reduce @DRUG$-induced side effects including fever, renal insufficiency, hyperbilirubinemia, confusion, and dyspnea, concomitant administration of these agents with PROLEUKIN may reduce the antitumor effectiveness of @DRUG$ and thus should be avoided. 12 Beta-blockers and other antihypertensives may potentiate the hypotension seen with PROLEUKIN.	DDI-false
Potential pharmacokinetic interactions have been studied in clinical pharmacokinetic studies ( @DRUG$ , valproate, oral contraceptives, digoxin, warfarin, @DRUG$ ) and through pharmacokinetic screening in the placebo-controlled clinical studies in epilepsy patients .	DDI-false
however, it adversely affected response duration suggesting that pyridoxine should not be administered with @DRUG$ and/or @DRUG$.1	DDI-false
In EM-persons treated with @DRUG$ The AUC of atomoxetine is about 6- to 8-fold and Css, max is about 3- to 4-fold greater than @DRUG$ alone .	DDI-false
Although studies designed to examine drug interactions have not been done, it was noted that corticosteroid or @DRUG$ treatment of relapses for periods of up to 28 days has been administered to patients (N=180) receiving @DRUG$.	DDI-false
@DRUG$ : @DRUG$ is known to slow the metabolism of carbamazepine and increase its serum levels Carbamazepine levels should be determined prior to concurrent administration with isoniazid , signs and symptoms of carbamazepine toxicity should be monitored closely , and appropriate dosage adjustment of the anticonvulsant should be made .	DDI-false
In rats, simultaneous ingestion of @DRUG$ and nitrite in the diet for 78 weeks has been reported to cause tumors, and it has been suggested that disulfiram may react with @DRUG$ in the rat stomach to form a nitrosamine, which is tumorigenic.	DDI-false
Although no specific studies have been performed, co-administration with medicinal products primarily metabolised by CYP3A4 (e. g. @DRUG$ , dapsone , disopyramide , quinine , amiodarone , quinidine , warfarin , tacrolimus , cyclosporine , ergot derivatives , pimozide , carbamazepine , fentanyl , alfentanyl , @DRUG$ , and triazolam ) may have elevated plasma concentrations when coadministered with saquinavir ;	DDI-false
The possibility of hypotensive effects with enalapril or enalaprilat can be minimized by either discontinuing the @DRUG$ or increasing the salt intake prior to initiation of treatment with @DRUG$ or enalaprilat.	DDI-false
In general, these drugs have one or more pharmacological activities, similar to bepridil hydrochloride, including @DRUG$ such as quinidine and procainamide , cardiac glycosides and @DRUG$.	DDI-false
Multivalent Cation-Containing products: Concomitant administration of quinolone, including ciprofloxacin, with multivalent cation-containing products such as @DRUG$ or aluminum antacids , sucralfate , VIDEX chewable/buffered tablets or pediatric powder , or products containing calcium , iron , or zinc may substantially decrease the absorption of @DRUG$ , which leads to serum and urine levels significantly lower than desired.	DDI-false
Diuretics: Etodolac has no apparent pharmacokinetic interaction when administered with @DRUG$ or @DRUG$.	DDI-false
No Important Interactions To Date Levosimendan does not have clinically important pharmacokinetic interactions with @DRUG$, beta-blockers, felodipine, digoxin, warfarin, isosorbide mononitrate, carvedilol, ethanol or @DRUG$.	DDI-false
Therophylline : A recent study has shown that @DRUG$ and theophylline may cause elevated plasma levels of theophylline , and in some instances a slight decrease in the elimination of @DRUG$.	DDI-false
(Concurrent use with @DRUG$ may enhance the possibility of @DRUG$ toxicity associated with hypokalemia.)	DDI-effect
This drug may interact with alcohol or other CNS depressants (may potentiate the CNS depressant effects of either these medications or antihistamines), anticholinergics or other medications with anticholinergic activity (anticholinergic effects may be potentiated when these medications are used concurrently with @DRUG$), and monoamine oxidase (MAO) inhibitors (concurrent use with @DRUG$ may prolong and intensify the anticholinergic and CNS depressant effects of antihistamines).	DDI-false
Although specific studies have not been performed , coadministration with drugs that are mainly metabolized by CYP3A4 ( eg , calcium channel blockers , dapsone , disopyramide , @DRUG$ Amiodarone, quinidine, warfarin, tacrolimus, cyclosporin, ergot derivatives, pimozide, @DRUG$ , fentanyl , alfentanyl , alprazolam , and triazolam ) may have elevated plasma concentrations when coadministered with saquinavir ;	DDI-false
