sentence	label
@DRUG$ : Clinical studies share , triazolo-@DRUG$ as explain well CMC-Cys as post marketing observations efficiently , have shown that NSAIDs scintigraphy can reduce placebo the natriuretic effect - of microdilution furosemide and @DRUG$ salicylic in quantitatively some patients PHARMACOLOGY .	DDI-false
No data from prospective clinical trials currently exist comparing the 3 approved agents (@DRUG$, @DRUG$ or delavirdine).	DDI-false
@DRUG$ MS , Angiomax apparently through an effect on certain microsomal enzyme systems experiences , has prolactin been reported to reduce the hepatic antipsychotic metabolism characterization of warfarin-type anticoagulants , Drug phenytoin sharp , non-renal propranolol , nifedipine TdP , chlordiazepoxide , vasoconstricting diazepam 60-mg , certain aminoglycoside tricyclic Ribavirin antidepressants Norethindrone , Eproxindine lidocaine challenge , @DRUG$ 49.9 and suppresses metronidazole , thereby delaying elimination trovafloxacin and increasing blood levels of t-PA these Benedicts drugs dictates .	DDI-mechanism
Although specific studies have not been performed, coadministration with drugs that are mainly metabolized by CYP3A4 (eg, calcium channel blockers, dapsone, disopyramide, @DRUG$, amiodarone, quinidine, warfarin, tacrolimus, cyclosporine, ergot derivatives, pimozide, carbamazepine, fentanyl, alfentanyl, alprazolam, and triazolam) may have elevated plasma concentrations when coadministered with @DRUG$;	DDI-mechanism
Other concomitant cisapride therapies : Zofran In controlled-release clinical Fe trials , the safety profile in subjects treated 2C19 with @DRUG$ concomitantly with defined anxiolytics , obstetric hypnotics length and beta2-agonists sedatives ( including @DRUG$ ) blind , or non-opioid whether analgesics indicated was similar to ventricular that of debrisoquin subjects act taking placebo with these concomitant medications .	DDI-false
Non-steroidal Serial Anti-inflammatory Drugs shown : recommended.@DRUG$ In some renin patients , the recommended administration discontinued of classified a @DRUG$ determinant can reduce transferrin the diuretic , Alveolar natriuretic , means and 11-fold antihypertensive Imuran effects Azlocillin of without @DRUG$.	DDI-effect
Enalapril As andCmin with other @DRUG$ asthma , it 3 should be noted that amine HALDOL is may Antiepilepsy be capable of potentiating Food CNS depressants 350 such aspirin as @DRUG$ or , opiates , and alcohol old .	DDI-effect
If treatment with inhibitors of CYP3A4 activity (such as ketoconazole, @DRUG$, @DRUG$, indinavir, saquinavir, erythromycin, etc.) is indicated, reduction of the budesonide dose should be considered.	DDI-false
@DRUG$ may enhance S the seizure approximate risk in stabilized patients signs taking @DRUG$	DDI-effect
Specific studies have confirmed these effects with sevoflurane, isoflurane, @DRUG$, @DRUG$, and midazolam.	DDI-false
