sentence	label
Additive adverse effects resulting from cholinergic blockade may occur when LEVSIN is administered concomitantly with other @DRUG$, amantadine, haloperidol, @DRUG$, monoamine oxidase (MAO) inhibitors, tricyclic antidepressants or some antihistamines.	DDI-false
Dosage adjustment of STRATTERA may be necessary when coadministered with CYP2D6 inhibitors, e.g., @DRUG$, @DRUG$, and quinidine.	DDI-false
tested @DRUG$ theophylline @DRUG$ and .	DDI-false
- @DRUG$ (e.g., Mexate) Use of methotrexate with @DRUG$ may increase the chance of side effects affecting the liver and/or the side effects of methotrexate	DDI-false
To determine of @DRUG$ would of to be a fixed of thiosulfate hours escalating	DDI-false
studied adverse effects exposure of to interaction @DRUG$ with and @DRUG$ , coexisting the contents of beverages	DDI-false
The similarity the @DRUG$ between ( AVONEX ) Study 2 with @DRUG$ ) indicates that this alteration in clearance does reduction the TYSABRI   dose to maintain safety , )	DDI-false
Hypersensitivity reactions have been reported in patients receiving combination regimens containing sequential high dose PROLEUKIN and @DRUG$, specifically, dacarbazine, @DRUG$, tamoxifen and interferon-alfa.	DDI-false
This drug may interact with alcohol or other CNS depressants (may potentiate the CNS depressant effects of either these medications or @DRUG$), anticholinergics or other medications with anticholinergic activity (anticholinergic effects may be potentiated when these medications are used concurrently with antihistamines), and monoamine oxidase (MAO) inhibitors (concurrent use with @DRUG$ may prolong and intensify the anticholinergic and CNS depressant effects of antihistamines).	DDI-false
It is therefore necessary to be well acquainted with the clinical and paraclinical pattern of magnesium deficit and to discriminate between @DRUG$ deficiency due to an insufficient @DRUG$ intake which only requires oral physiological supplementation and magnesium depletion related to a dysregulation of the control mechanisms of magnesium status which requires more or less specific regulation of its causal dysregulation.	DDI-false
therapies : In trials , the safety profile in treated with Acamprosate concomitantly with anxiolytics @DRUG$ and sedatives ( benzodiazepines , @DRUG$ was that taking placebo with .	DDI-false
@DRUG$ as procainamide , disopyramide , and phenytoin , used concurrently	DDI-false
Central Nervous System Depressants: The concomitant use of @DRUG$  (fentanyl transdermal system) with other central nervous system depressants, including but not limited to other opioids, sedatives, hypnotics, tranquilizers (e.g., benzodiazepines), general anesthetics, phenothiazines, @DRUG$, and alcohol, may cause respiratory depression, hypotension, and profound sedation, or potentially result in coma or death.	DDI-effect
Other concomitant therapy Although specific interaction studies were not performed, finasteride doses of 1 mg or more were concomitantly used in clinical studies with acetaminophen, acetylsalicylic acid, a-blockers, analgesics, angiotensin-converting enzyme (ACE) inhibitors, anticonvulsants, benzodiazepines, @DRUG$, @DRUG$, cardiac nitrates, diuretics, H2 antagonists, HMG-CoA reductase inhibitors, prostaglandin synthetase inhibitors (also referred to as NSAIDs), and quinolone anti-infectives without evidence of clinically significant adverse interactions.	DDI-false
Drug Interactions: @DRUG$ may interact with some drugs, like Monoamine oxidase inhibitors (MAOI): MAOI could theoretically affect flupenthixol pharmacodynamics - Arecoline - Eproxindine - Ethanol: Flupenthixol and @DRUG$ cause additive CNS depression - Tricyclic antidepressants: Flupenthixol increases the effect of Tricyclic antidepressants	DDI-false
, lidocaine/quinidine phenobarbital/acetaminophen , quinidine/lidocaine ,	DDI-false
Based on the results of these studies, it is concluded that @DRUG$ may be safely coadministered with both @DRUG$ and dideoxyinosine.	DDI-false
a clinical pharmacology aluminum hydroxide , hydroxide and simethicone fosinopril serum urinary @DRUG$ fosinopril administered suggesting may impair absorption of	DDI-false
lidocaine/quinidine , @DRUG$/valproic quinidine/lidocaine , , and valproic acid/phenobarbital	DDI-false
Particular caution when in mixed drug effects ( such as convulsions cardiac dysrhythmias ) other drugs in overdose especially @DRUG$ ) the @DRUG$ effect by flumazenil .	DDI-false
In patients with chronic hepatitis C treated with PEGASYS in combination with COPEGUS, @DRUG$ treatment did not affect @DRUG$ distribution or clearance.	DDI-false
@DRUG$, @DRUG$, or narcotics: potentiation of orthostatic hypotension may occur.	DDI-false
Caution should be exercised if an HMG-CoA reductase inhibitor is administered concomitantly with drugs that may decrease the levels or activity of endogenous steroid hormones, such as @DRUG$, spironolactone, and @DRUG$.	DDI-false
Benzthiazide may interact with alcohol, blood thinners, @DRUG$ (allergy, cold, and sinus medicines), diabetic drugs, lithium, norepinephrine, NSAIDs like Aleve or @DRUG$, and high blood pressure medications.	DDI-false
@DRUG$: Indinavir (800 mg t.i.d.) co-administered with @DRUG$ 10 mg resulted in a 16-fold increase in vardenafil AUC, a 7-fold increase in vardenafil Cmax and a 2-fold increase in vardenafil half-life.	DDI-false
@DRUG$ Amphetamines may the of @DRUG$.	DDI-false
Concurrent ( e.g. @DRUG$ , indomethacin myelotoxic , cytotoxic chemotherapy @DRUG$ or hepatotoxic e.g. , asparaginase may these organ .	DDI-false
Methotrexate: In an interaction study of rheumatoid arthritis patients taking @DRUG$, CELEBREX did not have a significant effect on the pharmacokinetics of @DRUG$.	DDI-false
Drugs may alter imatinib that increase @DRUG$ plasma concentrations Caution is when Gleevec with the CYP3A4 ( e.g. , ketoconazole itraconazole @DRUG$ )	DDI-false
Interactions : Flupenthixol may drugs , @DRUG$ ( ): theoretically flupenthixol - Arecoline - Eproxindine - @DRUG$ Ethanol cause additive CNS - Tricyclic Flupenthixol increases the of Tricyclic	DDI-false
