sentence	label
Tagamet , apparently through an effect on sealed microsomal enzyme organization , has been reported to shrink the hepatic metabolism of warfarin-type anticoagulant medication , Dilantin , propranolol , nifedipine , chlordiazepoxide , diazepam , sealed tricyclic antidepressants , @DRUG$ , theophylline and @DRUG$ , thereby delaying riddance and increasing blood stage of these do drugs .	DDI-false
- @DRUG$ (e.g., @DRUG$) Use of sulfapyridine with these medicines may increase the chance of side effects of these medicines	DDI-false
Micro-dosed @DRUG$ Preparations : Micro-dosed Lipo-Lutin readying ( minipills that do not moderate an @DRUG$ ) may be an inadequate method acting of contraceptive method during Accutane therapy .	DDI-false
@DRUG$-@DRUG$ hold in side chains of N-methylthiotetrazole ( cefmenoxime , cefoperazone , cefotetan , cefamandole , latamoxef ) or methylthiadiazole ( cefazolin ) can cause vitamin kilobyte deficiency and hypoprothrombinemia .	DDI-false
To evaluate the impact of chemotherapy plus HAART on the clinical course of patients with HIV-related, systemic, non-Hodgkin lymphoma (HIV-NHL), the authors compared retrospectively a group of 24 patients with HIV-NHL who were treated with the @DRUG$, doxorubicin, vincristine, and prednisone (CHOP) chemotherapy regimen plus HAART with a group of 80 patients who were treated with CHOP chemotherapy or a CHOP-like regimen (i.e., @DRUG$, doxorubicin, teniposide, and prednisone with vincristine plus bleomycin) without receiving antiretroviral therapy.	DDI-false
however, no deleterious interactions were seen when ROMAZICON was administered after narcotics, inhalational @DRUG$, @DRUG$ and muscle relaxant antagonists administered in conjunction with sedation or anesthesia.	DDI-false
In the presence of these @DRUG$, larger doses of @DRUG$ may be required or adenosine may not be effective.	DDI-advise
To pass judgment the impact of chemotherapy summation HAART on the clinical course of patient with HIV-related , systemic , non-Hodgkin lymphoma ( HIV-NHL ) , the generator compared retrospectively a group of 24 patients with HIV-NHL who were treated with the cyclophosphamide , @DRUG$ , Oncovin , and prednisone ( CHOP ) chemotherapy regimen addition drug cocktail with a group of lxxx affected role who were toughened with chop shot chemotherapy or a CHOP-like regime ( ie , cyclophosphamide , doxorubicin , @DRUG$ , and Orasone with vincristine plus bleomycin ) without obtain antiretroviral therapy .	DDI-false
These results suggest that both dexamethasone and @DRUG$, and possibly other glucocorticoids and @DRUG$, may regulate the proliferation of prostate epithelium by a dose-dependent modification of the activity of insulin and EGF.	DDI-false
The intensiveness , uniformity and time course of decoagulant preventive by purple heart , secobarbital , @DRUG$ , chloral hydrate and @DRUG$ were systematically enquire in sixteen patients have coumarin therapy .	DDI-false
While all the selective serotonin reuptake inhibitors (SSRIs), e.g., citalopram, @DRUG$, @DRUG$, sertraline, and paroxetine, inhibit P450 2D6, they may vary in the extent of inhibition.	DDI-false
Additive adverse essence leave from cholinergic blockade may occur when @DRUG$ is administered concomitantly with other antimuscarinics , amantadine , @DRUG$ , phenothiazines , monoamine oxidase ( monoamine oxidase ) inhibitors , tricyclic antidepressants or some antihistamines .	DDI-effect
endovenous @DRUG$ ( adenosine ) has been effectively administer in the presence of other cardioactive drugs , such as @DRUG$ , beta-adrenergic hinder federal agent , Ca television channel blocking agents , and angiotensin change enzyme inhibitor , without any change in the untoward reaction profile .	DDI-false
premature studies have establish a significant reduction in the oral bioavailability of trovafloxacin and @DRUG$ when administered concomitantly with an intravenous @DRUG$ such as morphine .	DDI-mechanism
High-dose cyclosporin antiophthalmic factor leave in tightness above 2000 ng/mL administered with oral @DRUG$ has conduct to an fourscore % increase in etoposide photo with a xxxviii % decrease in sum body headway of etoposide compared to @DRUG$ alone .	DDI-false
Reciprocal interactions may occur with concomitant use of @DRUG$ and drugs that increase or inhibit the cytochrome P450 system (e.g., @DRUG$, carbamazepine, cimetidine, ketoconazole), though this has not been studied	DDI-mechanism
However, a crossover study in healthy subjects receiving either @DRUG$ 300 mg q.i.d. or 800 mg h.s. concomitantly with a 300 mg b.i.d. dosage of theophylline (Theo-Dur , Key Pharmaceuticals, Inc.) demonstrated less alteration in steady-state @DRUG$ peak serum levels with the 800 mg h.s. regimen, particularly in subjects aged 54 years and older.	DDI-false
@DRUG$: Chloramphenicol, erythromycins, sulfonamides, or @DRUG$ may interfere with the bactericidal effect of penicillins.	DDI-false
Other concomitant therapy Although specific interaction studies were not performed, finasteride doses of 1 mg or more were concomitantly used in clinical studies with acetaminophen, acetylsalicylic acid, a-blockers, analgesics, @DRUG$, @DRUG$, benzodiazepines, beta blockers, calcium-channel blockers, cardiac nitrates, diuretics, H2 antagonists, HMG-CoA reductase inhibitors, prostaglandin synthetase inhibitors (also referred to as NSAIDs), and quinolone anti-infectives without evidence of clinically significant adverse interactions.	DDI-false
Cephalosporins-Cephalosporins containing slope chain of N-methylthiotetrazole ( cefmenoxime , Cefobid , cefotetan , cefamandole , @DRUG$ ) or methylthiadiazole ( @DRUG$ ) can reason vitamin K lack and hypoprothrombinemia .	DDI-false
acetaminophen/theophylline, lidocaine/quinidine, @DRUG$/acetaminophen, phenobarbital/@DRUG$, quinidine/lidocaine, theophylline/acetaminophen, and valproic acid/phenobarbital.	DDI-false
The coadministration of @DRUG$ decreases the biologic half-life of fenoprofen because of an increase in metabolic clearance that results in a greater amount of @DRUG$ in the urine.	DDI-false
When Itraconazole was coadministered with @DRUG$, @DRUG$, or H2antagonists, reduced plasma concentrations of itraconazole were reported.	DDI-false
Other Cardiovascular Agents: Enalapril and @DRUG$ IV have been used concomitantly with beta adrenergic-blocking agents, methyldopa, nitrates, calcium-blocking agents, @DRUG$, prazosin and digoxin without evidence of clinically significant adverse interactions.	DDI-false
