sentence	label
Potassium-sparing diuretics (e.g., spironolactone, @DRUG$, or @DRUG$), potassium supplements, or potassium-containing salt substitutes may lead to significant increases in serum potassium.	DDI-false
@DRUG$ • Probenecid, a renal tubular secretion blocking agent, administered at a dose of 500 mg four times a day, did not alter the pharmacokinetics of @DRUG$ 1000 mg twice daily.	DDI-false
Ergot Derivatives : Dihydroergotamine , ergonovine , @DRUG$ , methylergonovine CONTRAINDICATED due to potential for serious and life-threatening reactions such as acute @DRUG$ Toxicity characterized by peripheral vasospasm and ischemia of extremities and other tissues.	DDI-false
@DRUG$: @DRUG$ blocks dopamine and norepinephrine reuptake, thus inhibiting the central stimulant effects of amphetamines.	DDI-false
Antacids : In a clinical pharmacology study , coadministration of an @DRUG$ ( @DRUG$ , magnesium hydroxide , and simethicone ) with fosinopril reduced serum levels and urinary excretion of fosinoprilat as compared with fosinopril administered alone , suggesting that antacids may impair absorption of fosinopril .	DDI-false
In clinical studies performed with Fondaparinux, the concomitant use of oral anticoagulants (@DRUG$), platelet inhibitors (acetylsalicylic acid), NSAIDs (@DRUG$), and digoxin did not significantly affect the pharmacokinetics/pharmacodynamics of fondaparinux sodium.	DDI-false
May interact with the following: cholestyramine, @DRUG$ (use with thiazide diuretics may prevent the @DRUG$ from working properly;	DDI-false
Nevertheless , clinical studies , as well as postmarketing observations have shown that Lodine can reduce the natriuretic effect of @DRUG$ and @DRUG$ In some patients.	DDI-false
Note: dissolution of aerosol particles of @DRUG$ in @DRUG$, a model lung surfactant.	DDI-false
Digoxin, Nimodipine and Losartan: @DRUG$ has no significant pharmacokinetic interactions with digoxin and nimodipine, and losartan has no significant effect on plasma levels of @DRUG$.	DDI-false
The majority of patients in RA clinical trials received one or more of the following concomitant drugs with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blockers, azathioprin, @DRUG$ , gold , hydroxychloroquine , @DRUG$ , Sulfasalazine, and Anakinra.	DDI-false
Population pharmacokinetic analyses revealed that MTX , NSAIDs , @DRUG$ , and TNF blocking agents did not influence @DRUG$ clearance .	DDI-false
Further, no effects on either warfarin levels or prothrombin times were observed in a study involving concomitant administration of @DRUG$ and @DRUG$.	DDI-false
Co-administration of MYOBLOC and aminoglycosides or other agents interfering with neuromuscular transmission ( e.g. , @DRUG$ ) should only be carried out with caution, since the effect of @DRUG$ It can be potentiated.	DDI-false
Cephalosporins-Cephalosporins containing side chains of N-methylthiotetrazole (@DRUG$, cefoperazone, cefotetan, cefamandole, latamoxef) or methylthiadiazole (@DRUG$) can cause vitamin K deficiency and hypoprothrombinemia.	DDI-false
