sentence	label
Stavudine and @DRUG$ @DRUG$ can antagonize in activity of stavudine and HIV	DDI-false
Antacids: In a clinical pharmacology study, coadministration of an @DRUG$ (aluminum hydroxide, magnesium hydroxide, and simethicone) with @DRUG$ reduced serum levels and urinary excretion of fosinoprilat as compared with fosinopril administered alone, suggesting that antacids may impair absorption of fosinopril.	DDI-mechanism
Example inhibitors include azole antifungals, ciprofloxacin, clarithromycin, diclofenac, doxycycline, erythromycin, imatinib, @DRUG$, nefazodone, nicardipine, propofol, protease inhibitors, quinidine, and @DRUG$.	DDI-false
or eliminated increases produced by intermediate doses either @DRUG$ FI or doses PCP or either	DDI-false
Flupenthixol may some like @DRUG$ ( MAOI MAOI could flupenthixol pharmacodynamics Arecoline - Eproxindine - Ethanol and cause additive - Tricyclic @DRUG$ the effect of Tricyclic antidepressants	DDI-false
The anesthetic @DRUG$ or to @DRUG$ tricyclic may severe , prolonged hypertension	DDI-effect
Because Nalfon has not been shown to produce any additional effect beyond that obtained with @DRUG$ alone and because aspirin increases the rate of excretion of @DRUG$, the concomitant use of Nalfon and salicylates is not recommended.	DDI-false
@DRUG$ @DRUG$ , increased .	DDI-effect
Potential drug interactions between Keppra  and other AEDs (carbamazepine, gabapentin, lamotrigine, @DRUG$, phenytoin, primidone and valproate) were also assessed by evaluating the serum concentrations of @DRUG$ and these AEDs during placebo-controlled clinical studies.	DDI-false
concentrations of SN38 active of @DRUG$ 33 % receiving combination with @DRUG$ compared .	DDI-false
Acidifying agents: Gastrointestinal acidifying agents (@DRUG$, reserpine, glutamic acid HCl, @DRUG$, fruit juices, etc.) lower absorption of amphetamines.	DDI-false
Bacteriostatic Antibiotics: @DRUG$, @DRUG$, sulfonamides, or tetracyclines may interfere with the bactericidal effect of penicillins.	DDI-false
In studies Fondaparinux concomitant use oral @DRUG$ ) , platelet inhibitors @DRUG$ ) , ( affect the of fondaparinux sodium	DDI-false
HIV Protease Inhibitors: @DRUG$ (800 mg t.i.d.) co-administered with @DRUG$ 10 mg resulted in a 16-fold increase in vardenafil AUC, a 7-fold increase in vardenafil Cmax and a 2-fold increase in vardenafil half-life.	DDI-mechanism
: @DRUG$ and have been concomitantly with beta agents calcium-blocking , hydralazine @DRUG$ evidence of clinically significant interactions	DDI-false
In vitro studies show significant inhibition of the formation of oxidized irbesartan metabolites with the known cytochrome CYP 2C9 substrates/inhibitors @DRUG$, @DRUG$ and nifedipine.	DDI-false
@DRUG$, Methylxanthines and Diuretics: Concomitant treatment with @DRUG$, steroids, or diuretics may potentiate a possible hypokalemic effect of  beta2-agonists.	DDI-false
Co-administration: Concomitant use of Argatroban with @DRUG$, @DRUG$, and other anticoagulants may increase the risk of bleeding.	DDI-false
Drug Interactions: @DRUG$ may interact with some drugs, like Monoamine oxidase inhibitors (MAOI): MAOI could theoretically affect flupenthixol pharmacodynamics - Arecoline - Eproxindine - Ethanol: Flupenthixol and Ethanol cause additive CNS depression - Tricyclic antidepressants: @DRUG$ increases the effect of Tricyclic antidepressants	DDI-false
