sentence	label
When other @DRUG$ or @DRUG$ are used concomitantly , there is the potentiality for FLOLAN to step-up the risk of shed blood .	DDI-false
Potential drug interactions between Keppra  and other AEDs (carbamazepine, gabapentin, lamotrigine, @DRUG$, phenytoin, primidone and valproate) were also assessed by evaluating the serum concentrations of levetiracetam and these @DRUG$ during placebo-controlled clinical studies.	DDI-false
In a study in which patients with active RA were treated for up to 24 weeks with concurrent Kineret and @DRUG$ therapy, a 7% rate of serious infections was observed, which was higher than that observed with @DRUG$ alone (0%).	DDI-false
@DRUG$ should not be administered concomitantly with other sympathomimetic drugs (such as @DRUG$) because of possible additive effects and increased toxicity.	DDI-advise
Digoxin , @DRUG$ and Losartan : Bosentan has no significant pharmacokinetic fundamental interaction with digoxin and nimodipine , and losartan has no pregnant essence on plasma levels of @DRUG$.	DDI-false
Although there are no discipline information to value the theory , @DRUG$ , let in sodium nitroprusside and nitroglycerin , may have an additive set up with @DRUG$ on the risk of developing methemoglobinemia .	DDI-effect
The extent to which @DRUG$-TCA interactions may pose clinical problems will depend on the degree of inhibition and the pharmacokinetics of the @DRUG$ involved.	DDI-false
Antiarrhythmics : @DRUG$ , bepridil , flecainide , propafenone , @DRUG$ contraindicate due to potentiality for serious and/or life-threatening reaction .	DDI-false
@DRUG$-Concomitant uptake of cholestyramine and @DRUG$ may shrink the absorption of vitamin K.	DDI-false
In rats, simultaneous ingestion of @DRUG$ and nitrite in the diet for 78 weeks has been reported to cause tumors, and it has been suggested that @DRUG$ may react with nitrites in the rat stomach to form a nitrosamine, which is tumorigenic.	DDI-false
@DRUG$ serum levels should be monitored and appropriate dose fitting debate for patients given both @DRUG$ and PEGASYS .	DDI-false
Other concomitant therapy Although specific interaction studies were not performed, finasteride doses of 1 mg or more were concomitantly used in clinical studies with acetaminophen, acetylsalicylic acid, a-blockers, analgesics, angiotensin-converting enzyme (ACE) inhibitors, @DRUG$, benzodiazepines, beta blockers, calcium-channel blockers, cardiac nitrates, diuretics, H2 antagonists, HMG-CoA reductase inhibitors, prostaglandin synthetase inhibitors (also referred to as @DRUG$), and quinolone anti-infectives without evidence of clinically significant adverse interactions.	DDI-false
The action of the benzodiazepines whitethorn be potentiated by anticonvulsants , antihistamines , alcohol , barbiturate , monoamine oxidase inhibitor , @DRUG$ , @DRUG$ , psychoactive medications , or other drug that produce systema nervosum centrale depression .	DDI-false
Central Nervous System Depressants: The concomitant use of DURAGESIC  (fentanyl transdermal system) with other central nervous system depressants, including but not limited to other opioids, sedatives, hypnotics, tranquilizers (e.g., benzodiazepines), general @DRUG$, phenothiazines, @DRUG$, and alcohol, may cause respiratory depression, hypotension, and profound sedation, or potentially result in coma or death.	DDI-false
These drugs include the thiazides and other diuretics, corticosteroids, phenothiazines, thyroid products, estrogens, oral contraceptives, @DRUG$, nicotinic acid, sympathomimetics, calcium channel blocking drugs, and @DRUG$.	DDI-false
These do drugs include the @DRUG$ and other diuretic , adrenal cortical steroid , thiodiphenylamine , thyroid mathematical product , oestrogen , oral contraceptives , @DRUG$ , nicotinic Lucy in the sky with diamonds , sympathomimetics , atomic number 20 channel blocking drugs , and isoniazid .	DDI-false
Carbamazepine , @DRUG$ , @DRUG$	DDI-false
however , it is considered to be unconvincing that this decrease of phosphorylated lamivudine concentration is of clinical signification , as @DRUG$ is a more efficient substratum for cytidine kinase than @DRUG$.	DDI-false
@DRUG$ : A news report of spartan @DRUG$ toxicity was reported in a patient experience Isoniazid .	DDI-false
@DRUG$: Chloramphenicol, @DRUG$, sulfonamides, or tetracyclines may interfere with the bactericidal effect of penicillins.	DDI-false
therapeutic concentrations of Lanoxin , warfarin , ibuprofen , @DRUG$ , @DRUG$ , Datril , diphenylhydantoin andtolbutamide did not alter ketorolac tromethamine protein binding .	DDI-false
In a comparison of @DRUG$ tolerance in dogs put out with Ketalar , Innovar veterinary , or pentobarbital sodium , the dose of ouabain needed to movement ventricular tachycardia was significantly high , as was the LD50 of ouabain , with ketamine or Innovar than with @DRUG$.	DDI-false
@DRUG$ have been reported to decrease the tubular secretion of @DRUG$ and to potentiate its toxicity.	DDI-mechanism
The hypoglycemic action of sulfonylurea may be potentiated by certain drugs including nonsteroidal anti-inflammatory agents and other drugs that are highly protein bound, salicylates, sulfonamides, @DRUG$, probenecid, @DRUG$, monoamine oxidase inhibitors, and beta adrenergic blocking agents.	DDI-false
Therefore, when @DRUG$ and @DRUG$ are used concomitantly, the patient should be observed closely to determine if the desired effect of the diuretic is obtained.)	DDI-advise
Although neither @DRUG$ nor retinyl acetate rayon affected the proliferation of prostatic epithelium in RPMI1640 stop beta globulin alone , they modify the mitogenic gist of EGF and @DRUG$.	DDI-effect
glyoxaline ( e. g. , ketoconazole , miconazole , clotrimazole , fluconazole , etc . ): in vitro and creature written report with the combination of @DRUG$ and glyoxaline evoke that imidazoles may induce fungal ohmic resistance to @DRUG$.	DDI-false
